date,actual,predicted,factor_return,intercept,residual_alpha
2022-07-01,0.0991,-0.010015494510787051,-0.07221596702136569,0.06220047251057864,0.10911549451078704
2022-08-01,-1.1333,-1.6197335668217516,-1.6844731986069854,0.06473963178523373,0.48643356682175165
2022-09-01,3.5306,1.65207840192555,1.4713936607184783,0.18068474120707168,1.87852159807445
2022-10-01,-1.6623,-1.3679326774504057,-1.547365986021834,0.17943330857142825,-0.2943673225495944
2022-11-01,0.6317,0.07134019670850289,-0.13457375751643563,0.20591395422493852,0.5603598032914971
2022-12-01,3.4171,1.8394569365269833,1.6229276933859373,0.21652924314104596,1.5776430634730167
2023-01-01,0.1351,0.6261679485285253,0.41512455196444875,0.21104339656407656,-0.4910679485285253
2023-02-01,-1.8352,-1.1053792466061962,-1.281032971287003,0.17565372468080676,-0.7298207533938037
2023-03-01,-1.6601,-1.5199389976348892,-1.6849377774142467,0.1649987797793575,-0.14016100236511075
2023-04-01,-0.1996,0.6799941615056813,0.5510112861355334,0.1289828753701478,-0.8795941615056813
2023-05-01,1.6441,1.7153139104007027,1.5858946379519065,0.1294192724487962,-0.0712139104007028
2023-06-01,1.676,0.710535590827746,0.5859356869768513,0.1245999038508947,0.965464409172254
2023-07-01,1.163,1.3350705107467151,1.2636343052696297,0.07143620547708537,-0.1720705107467151
2023-08-01,-0.2242,0.9995732911975608,0.9623899696121969,0.037183321585363915,-1.2237732911975607
2023-09-01,0.6135,0.7725745197802513,0.7429097214303363,0.029664798349914978,-0.15907451978025122
2023-10-01,-0.2089,-1.0134658230333027,-1.0604581292356172,0.04699230620231454,0.8045658230333027
2023-11-01,-0.1051,-0.8035661260864669,-0.8833772039776051,0.07981107789113817,0.698466126086467
2023-12-01,0.6801,0.26533093703327326,0.11589070883287912,0.14944022820039415,0.4147690629667268
